"","type","year","educ","age","from_to","probability","count_from_to","count_from"
"355","empirical","2018","mid",65,"unpartnered_unpartnered",0.979130635776871,8492,8673
"356","empirical","2018","mid",65,"widowed_dead",0.00773096245492849,20,2587
"357","empirical","2018","mid",65,"widowed_partnered",0.0104367986691535,27,2587
"358","empirical","2018","mid",65,"widowed_widowed",0.981832238875918,2540,2587
"359","empirical","2018","mid",66,"partnered_dead",0.00533011525190828,106,19887
"360","empirical","2018","mid",66,"partnered_partnered",0.976467037829311,19419,19887
"361","empirical","2018","mid",66,"partnered_unpartnered",0.00553125155764067,110,19887
"362","empirical","2018","mid",66,"partnered_widowed",0.0126715953611405,252,19887
"363","empirical","2018","mid",66,"unpartnered_dead",0.00919622555217963,77,8373
"364","empirical","2018","mid",66,"unpartnered_partnered",0.00788247955901111,66,8373
"365","empirical","2018","mid",66,"unpartnered_unpartnered",0.982921294888809,8230,8373
"366","empirical","2018","mid",66,"widowed_dead",0.0109215022872355,32,2930
"367","empirical","2018","mid",66,"widowed_partnered",0.00648464187054608,19,2930
"368","empirical","2018","mid",66,"widowed_widowed",0.982593855842218,2879,2930
"369","empirical","2018","mid",67,"partnered_dead",0.00557059572868076,107,19208
"370","empirical","2018","mid",67,"partnered_partnered",0.975374842531159,18735,19208
"371","empirical","2018","mid",67,"partnered_unpartnered",0.00504997941665452,97,19208
